State,Population density,People,Land Area
 Alabama,38.3,5024279,131169.9
 Alaska,0.5,733391,1477953.4
 American Samoa,251,49710,199.4
 Arizona,24.3,7151502,294207.1
 Arkansas,22.3,3011524,134770
 California,98,39538223,403932
 Colorado,21.5,5773714,268431.5
 Connecticut,288,3605944,12540.7
 Delaware,196,989948,5047.9
 District of Columbia,4361,689545,158
 Florida,155,21538187,138888.1
 Georgia,71.9,10214860,148958
 Guam,283,153836,543.9
 Hawaii,87.5,1455271,16635.5
 Idaho,8.6,1839106,214044.4
 Illinois,89.1,12812508,143793.5
 Indiana,73.1,6785528,92788.9
 Iowa,22.1,3190369,144669
 Kansas,13.9,2937880,211754.8
 Kentucky,44.1,4505836,102268.3
 Louisiana,41.6,4657757,111897.8
 Maine,17.1,1363359,79883
 Maryland,246,6177224,25141
 Massachusetts,348,7029917,20201.9
 Michigan,68.8,10077331,250493.3
 Minnesota,27.7,5706494,206233
 Mississippi,24.4,2961279,121530
 Missouri,34.6,6154913,178041
 Montana,2.9,1084225,376962.4
 Nebraska,9.9,1961504,198973.2
 Nevada,10.9,3104614,284331.5
 New Hampshire,59.4,1377529,23188.2
 New Jersey,488,9288994,19046.8
 New Mexico,6.7,2117522,314160.4
 New York,166,20201249,122055.8
 North Carolina,82.9,10439388,125920
 North Dakota,4.4,779094,178711.8
 Northern Mariana Islands,100,47329,463.6
 Ohio,111,11799448,105829.5
 Oklahoma,22.3,3959353,177660.2
 Oregon,17,4237256,248607.8
 Pennsylvania,112,13002700,115883.8
 Puerto Rico,371,3285874,9103.8
 Rhode Island,410,1097379,2678
 South Carolina,65.7,5118425,77857.6
 South Dakota,4.5,886667,196349.6
 Tennessee,64.7,6910840,106798.2
 Texas,43.1,29145505,676587.8
 US Virgin Islands,251,87146,347.1
 Utah,15.4,3271616,212819.3
 Vermont,26.9,643077,23871.9
 Virginia,84.4,8631393,102278.6
 Washington,44.8,7705281,172120.2
 West Virginia,28.8,1793716,62258.1
 Wisconsin,42,5893718,140268.6
 Wyoming,2.3,576851,251469.7
